country,year,electricity-only emissions incl autoprod
HU,2000,18.619847666078314
HU,2001,19.17169985791991
HU,2002,18.300354565787732
HU,2003,19.398072792717993
HU,2004,17.838003431070014
HU,2005,16.21663948458205
HU,2006,16.275415353448672
HU,2007,17.696039178148336
HU,2008,16.733667668499155
HU,2009,13.882719536950962
HU,2010,14.383052558130313
HU,2011,13.940745922925387
HU,2012,13.681230300607501
HU,2013,11.335795933098634
HU,2014,10.64023247054386
HU,2015,11.087041132451564
HU,2016,10.806676186833329
HU,2017,11.145920350538363
HU,2018,10.312052222056368
IE,1990,10.87649
IE,1991,11.36181
IE,1992,12.02713
IE,1993,12.047520000000002
IE,1994,12.368399999999998
IE,1995,13.051271000000002
IE,1996,13.76581
IE,1997,14.404189999999998
IE,1998,14.730089999999999
IE,1999,15.411990000000003
IE,2000,15.667304999999999
IE,2001,16.799706
IE,2002,15.830457999999998
IE,2003,15.10859
IE,2004,14.736822000000002
IE,2005,15.13644776
IE,2006,14.410774849999997
IE,2007,13.93281325
IE,2008,14.005000330000001
IE,2009,12.46631554
IE,2010,12.74513854
IE,2011,11.42056526
IE,2012,12.20978477
IE,2013,10.84740485
IE,2014,10.7074188
IE,2015,11.272921579999998
IE,2016,12.003253389999996
IE,2017,11.230517260000001
IE,2018,9.95765015
IT,1990,108.52720957
IT,1991,103.94754505
IT,1992,103.72681981
IT,1993,98.35441785000002
IT,1994,100.66079151
IT,1995,110.19137887999999
IT,1996,105.15916840999998
IT,1997,102.06540039
IT,1998,102.87046792999999
IT,1999,99.29135227
IT,2000,108.77619249000003
IT,2001,106.3042509
IT,2002,115.15018162999999
IT,2003,121.18949053000001
IT,2004,120.97851700417259
IT,2005,105.19465474345151
IT,2006,107.49326522489794
IT,2007,104.95724447264419
IT,2008,104.34770185362707
IT,2009,90.1754344057516
IT,2010,87.94656398681914
IT,2011,84.4118304633214
IT,2012,83.16956150274584
IT,2013,70.33523230247582
IT,2014,64.05006290014799
IT,2015,70.42190973136503
IT,2016,67.86900277680994
IT,2017,69.69331673468231
IT,2018,62.577986207063894
LT,1990,10.356320359418012
LT,1991,11.080318407854318
LT,1992,6.558967995666979
LT,1993,5.057896974480142
LT,1994,5.099087707064232
LT,1995,4.777844900357742
LT,1996,5.342551013233815
LT,1997,4.691243341830239
LT,1998,5.282860522150697
LT,1999,4.32567676618972
LT,2000,3.3712145264447018
LT,2001,3.5640818123050257
LT,2002,3.4539896550519615
LT,2003,3.351107453758426
LT,2004,3.250233762532607
LT,2005,3.2823709360345044
LT,2006,3.034370832645274
LT,2007,2.8344461791772337
LT,2008,2.562507130045138
LT,2009,2.6773493566748585
LT,2010,2.904465474095898
LT,2011,2.3948523247891966
LT,2012,2.4657356923584772
LT,2013,1.9567264435631018
LT,2014,1.7704373335261645
LT,2015,1.6611174594401095
LT,2016,1.619868695781576
LT,2017,1.3302928560501832
LT,2018,1.3067166140165203
LU,1990,0.03328747
LU,1991,0.0348281
LU,1992,0.03472748
LU,1993,0.03303727
LU,1994,0.03232314
LU,1995,0.09129444
LU,1996,0.08060930000000001
LU,1997,0.08766547999999999
LU,1998,0.15338816000000002
LU,1999,0.1706529508965015
LU,2000,0.10185887820124183
LU,2001,0.2524162440357169
LU,2002,0.9653572577764772
LU,2003,0.8787539688580516
LU,2004,1.08216292326539
LU,2005,1.0680787716472013
LU,2006,1.1220432724174216
LU,2007,1.0340657636875166
LU,2008,0.8361619494034084
LU,2009,1.047751932034387
LU,2010,1.0362140144974852
LU,2011,0.8365205587836175
LU,2012,0.8783062714902815
LU,2013,0.528820871287586
LU,2014,0.5476365399923592
LU,2015,0.35407769702865466
LU,2016,0.168147655334653
LU,2017,0.1613258019757481
LU,2018,0.14232031826607805
LV,1990,4.34417604637668
LV,1991,3.773528401968012
LV,1992,3.4513740757953837
LV,1993,2.787213843491752
LV,1994,2.4898563437999925
LV,1995,2.214041795049383
LV,1996,2.261897624997882
LV,1997,2.1773079224425014
LV,1998,2.231881394595344
LV,1999,1.8080352273185767
LV,2000,1.6124792319999888
LV,2001,1.6099025892427767
LV,2002,1.5052816145684775
LV,2003,1.4317953755488715
LV,2004,1.3069902406158076
LV,2005,1.3192150356975632
LV,2006,1.2352305496196117
LV,2007,1.1526402724290412
LV,2008,1.2281309536429161
LV,2009,1.2058347697432406
LV,2010,1.4432098260766595
LV,2011,1.3412530126985431
LV,2012,1.1541863068447684
LV,2013,1.1916750374059788
LV,2014,0.9487183254787636
LV,2015,1.0234256657678504
LV,2016,1.0545155723650563
LV,2017,1.1086658735672574
LV,2018,1.364039261113978
MT,1990,1.7585151
MT,1991,1.59905046
MT,1992,1.5362549800000003
MT,1993,2.10182796
MT,1994,1.8091218
MT,1995,1.5904736800000001
MT,1996,1.64697654
MT,1997,1.6116305400000002
MT,1998,1.63640886
MT,1999,1.7095157399999998
MT,2000,1.6023270600000001
MT,2001,1.9439214600000003
MT,2002,1.95686034
MT,2003,2.1596560800000004
MT,2004,2.0655325199999996
MT,2005,1.9734807
MT,2006,1.9948818000000001
MT,2007,2.0286669
MT,2008,1.9857486
MT,2009,1.8645531000000002
MT,2010,1.8619989000000001
MT,2011,1.9071105942634061
MT,2012,2.0183107355020065
MT,2013,1.639840721867703
MT,2014,1.5992320915878633
MT,2015,0.8496142827608143
MT,2016,0.5573087339957
MT,2017,0.7176143700000001
MT,2018,0.69733296
NL,1990,36.68489375715076
NL,1991,36.43325029285472
NL,1992,37.06102328230509
NL,1993,37.468735810255914
NL,1994,39.59748804239026
NL,1995,41.13847881757089
NL,1996,41.05503665357797
NL,1997,40.612035730646966
NL,1998,41.23561585188523
NL,1999,39.275042958755904
NL,2000,40.744440452371954
NL,2001,44.21733659147429
NL,2002,45.10952014192709
NL,2003,45.884997711956956
NL,2004,46.85550006177137
NL,2005,44.93097313107217
NL,2006,40.821122690062765
NL,2007,43.69959796628826
NL,2008,43.38441919123827
NL,2009,43.614951146846664
