country,year,electricity-only emissions
MT,1997,1.6116305400000002
MT,1998,1.63640886
MT,1999,1.7095157399999998
MT,2000,1.6023270600000001
MT,2001,1.9439214600000003
MT,2002,1.95686034
MT,2003,2.1596560800000004
MT,2004,2.0655325199999996
MT,2005,1.9734807
MT,2006,1.9948818000000001
MT,2007,2.0286669
MT,2008,1.9857486
MT,2009,1.8645531000000002
MT,2010,1.8618121462886494
MT,2011,1.9036984985766296
MT,2012,2.009995179167071
MT,2013,1.6292781833402399
MT,2014,1.5779663309342984
MT,2015,0.8211822991779214
MT,2016,0.5212138910547919
MT,2017,0.6813591288131902
MT,2018,0.6590199324332148
NL,1990,32.267128686570175
NL,1991,32.291984072771335
NL,1992,32.56414444798824
NL,1993,32.8271884544988
NL,1994,34.836820116224985
NL,1995,35.83061542276112
NL,1996,35.26108786817529
NL,1997,34.2582637839606
NL,1998,34.93892273669568
NL,1999,33.00408402246903
NL,2000,34.09240591598152
NL,2001,37.71967802661944
NL,2002,38.65340264190908
NL,2003,39.30244771969223
NL,2004,40.22561908433003
NL,2005,38.2280791863972
NL,2006,34.416456945703715
NL,2007,36.618188811298666
NL,2008,35.35548218885936
NL,2009,35.93677223615865
NL,2010,36.98530226871691
NL,2011,33.34142392546245
NL,2012,30.294560537465728
NL,2013,30.17591025238943
NL,2014,33.87085250229535
NL,2015,39.10913387545405
NL,2016,38.84949390234665
NL,2017,35.82025494346643
NL,2018,32.92887653688936
NO,1990,0.36239765321522643
NO,1991,0.38341041691776867
NO,1992,0.36840341036160584
NO,1993,0.39654306921959587
NO,1994,0.42792821698582073
NO,1995,0.4301317951547355
NO,1996,0.5072371669361849
NO,1997,0.45985530212555
NO,1998,0.5000350876606519
NO,1999,0.4815764703356233
NO,2000,0.44392845579712503
NO,2001,0.47712049906563264
NO,2002,0.5501538208703416
NO,2003,0.6919033041065245
NO,2004,0.5909386180486563
NO,2005,0.5708043355448391
NO,2006,0.5844722400787741
NO,2007,0.8856950228659778
NO,2008,0.744086238235327
NO,2009,1.8319087604483302
NO,2010,2.30603549591512
NO,2011,2.0978789843800505
NO,2012,1.6212646820948489
NO,2013,1.6032556814146501
NO,2014,1.595854039832852
NO,2015,1.5956100707816492
NO,2016,1.5726543229584777
NO,2017,1.6960851821417764
NO,2018,1.643141095031686
PL,1990,145.77819892531843
PL,1991,143.86988506238447
PL,1992,138.80990496615883
PL,1993,141.3189444806883
PL,1994,139.77457780696426
PL,1995,142.4491287193413
PL,1996,148.91790987875902
PL,1997,145.75410451667045
PL,1998,141.42904693562707
PL,1999,138.51977514142493
PL,2000,138.40039942879878
PL,2001,139.15747803209783
PL,2002,135.13965144452735
PL,2003,140.7331583372249
PL,2004,139.44492435090925
PL,2005,138.76761235308265
PL,2006,144.21105305759028
PL,2007,140.92544734026558
PL,2008,138.0726080381736
PL,2009,132.69338020532246
PL,2010,136.7284953891116
PL,2011,139.17463860738374
PL,2012,134.27809729071978
PL,2013,135.6481609427153
PL,2014,128.31046128749048
PL,2015,128.96422087418884
PL,2016,128.3071169434249
PL,2017,128.73933572003736
PL,2018,125.88461980238866
PT,1990,13.438560064424301
PT,1991,14.110678684931067
PT,1992,16.989060426251612
PT,1993,14.794961360267685
PT,1994,13.37868484274122
PT,1995,15.454597799611394
PT,1996,11.838664417455965
PT,1997,12.170231237795855
PT,1998,14.444503353096286
PT,1999,19.850661095292235
PT,2000,16.539074951968423
PT,2001,17.0216914936108
PT,2002,19.894481800445273
PT,2003,15.613716873901602
PT,2004,16.717882401029115
PT,2005,19.39448878647064
PT,2006,16.623288426412714
PT,2007,14.167173564179697
PT,2008,13.623021364431052
PT,2009,13.920694397525574
PT,2010,9.395024560660374
PT,2011,11.05775049337476
PT,2012,11.5314550981307
PT,2013,9.305661015867098
PT,2014,9.310220381517983
PT,2015,12.306160956406588
PT,2016,11.728242727273951
PT,2017,14.44471136453364
PT,2018,12.15974679629286
RO,1990,45.02076726980291
RO,1991,47.45582483978936
RO,1992,25.370150019660983
RO,1993,24.84029276298077
RO,1994,30.486102582148337
RO,1995,32.992034884752265
RO,1996,37.20059835116994
RO,1997,31.195349164706947
RO,1998,25.03390345694823
RO,1999,23.025746865125534
RO,2000,25.12691364143058
RO,2001,26.573011034855284
RO,2002,25.239078974896273
RO,2003,28.372031189955933
RO,2004,25.136224483439943
RO,2005,25.460988303649174
RO,2006,27.815691826869564
RO,2007,32.71083078531805
RO,2008,32.12933433160122
RO,2009,26.666995789771658
RO,2010,23.87529641879144
RO,2011,27.359920333165277
RO,2012,24.30613845903316
RO,2013,18.703476505948395
RO,2014,19.431079138851032
RO,2015,19.31086151635075
RO,2016,17.319841294994426
RO,2017,17.457722518367543
RO,2018,15.740276829084012
SE,1990,7.235346169366386
SE,1991,8.042758090442312
SE,1992,8.278062722180577
SE,1993,8.297773890129044
SE,1994,8.787176932815985
SE,1995,7.964960856854307
SE,1996,11.929619130861006
SE,1997,7.7534056993787885
SE,1998,8.679288632273703
SE,1999,7.134951089648114
SE,2000,5.6989663127085155
SE,2001,6.98631646774961
SE,2002,7.784204124814599
SE,2003,8.714602298550211
SE,2004,7.8700193482470615
SE,2005,7.060053314967737
SE,2006,7.105184656584497
SE,2007,6.8662470806044995
SE,2008,6.507793840246708
SE,2009,6.755608349558249
SE,2010,8.618220817928554
SE,2011,6.943796659137989
SE,2012,6.405417978618785
SE,2013,6.18708251489686
SE,2014,5.262223560421444
SE,2015,5.211651400255473
SE,2016,5.5641471994210265
SE,2017,5.592695967233321
SE,2018,5.68541332915213
SI,1990,5.4328885232176125
SI,1991,4.8297176080414586
SI,1992,5.195258240361481
SI,1993,5.051514651316483
SI,1994,4.87347689358981
SI,1995,5.021863052214936
SI,1996,4.636341773681317
SI,1997,5.197336549846518
SI,1998,5.352699081866809
SI,1999,4.808344185773138
SI,2000,5.065089322353058
SI,2001,5.7492026785782455
SI,2002,6.0530463163965695
SI,2003,5.777018032304385
SI,2004,5.894231383074148
SI,2005,5.923226649082982
SI,2006,5.978398038099195
SI,2007,6.212642816875001
SI,2008,5.9932757638473175
SI,2009,5.708699836707937
SI,2010,5.801786602467084
SI,2011,5.86576565520541
SI,2012,5.5558942463725245
SI,2013,5.2719271619369685
SI,2014,4.083834674141357
SI,2015,4.122576216078985
SI,2016,4.464697216914165
SI,2017,4.463780443484056
SI,2018,4.345481918482543
SK,1990,12.29931562873022
SK,1991,10.324165591975248
SK,1992,8.575356481991225
SK,1993,8.407806740226452
SK,1994,7.597487276586464
SK,1995,7.260646317763242
SK,1996,7.11798239600779
SK,1997,6.9961416486270585
SK,1998,7.089818630351835
SK,1999,7.5680320265356436
SK,2000,7.989754835217871
SK,2001,8.312753124240388
SK,2002,7.847860751290295
SK,2003,8.223782389538819
SK,2004,8.135409767577546
SK,2005,7.38248832963091
SK,2006,6.883177541395669
SK,2007,6.263479970122607
SK,2008,6.428281381577725
SK,2009,5.52019290183061
SK,2010,5.22193598937394
SK,2011,5.355683156989386
SK,2012,5.078362428280504
SK,2013,4.680121244679442
SK,2014,3.9368522146738245
SK,2015,4.084093549446286
SK,2016,3.9390844920354833
SK,2017,3.986596941361199
SK,2018,3.859773901146162
